target,K,fs,disc,score,accuracy,mean_prob_true,persistence_accuracy,majority_accuracy,majority_class,n_features_including_target,features,time_sec,model_pkl_path,edges_csv_path,exclude_other_throughputs,error
throughput_1,12,mrmr,classic_quantile,bic,0.998998998998999,0.4188977588040478,0.998998998998999,0.0,2.0,12.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'throughput_1']",24.801058291000004,,,False,
throughput_1,12,mrmr,classic_quantile,aic,0.998998998998999,0.41885041179591365,0.998998998998999,0.0,2.0,12.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'throughput_1']",25.46245933299997,,,False,
throughput_1,12,mrmr,kmeans,bic,0.998998998998999,0.4564154830311728,0.998998998998999,0.908908908908909,0.0,12.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'throughput_1']",25.451474041999973,,,False,
throughput_1,12,mrmr,kmeans,aic,0.2772772772772773,0.4552200078733534,0.998998998998999,0.908908908908909,0.0,12.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'throughput_1']",25.56028900000001,,,False,
throughput_1,12,mrmr,dbscan,bic,0.4774774774774775,0.0838384156484167,0.4864864864864865,0.09109109109109109,43.0,12.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'throughput_1']",24.477649083000017,,,False,
throughput_1,12,mrmr,dbscan,aic,0.4774774774774775,0.0838384156484167,0.4864864864864865,0.09109109109109109,43.0,12.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'throughput_1']",24.425740667000014,,,False,
throughput_1,12,pca,classic_uniform,bic,,,,,,,,1.2495993750000025,,,False,1
throughput_1,12,pca,classic_uniform,aic,,,,,,,,2.481044958000041,,,False,1
throughput_1,12,pca,classic_quantile,bic,0.09009009009009009,0.15036448922250042,0.998998998998999,0.0,2.0,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",2.3179295840000123,,,False,
throughput_1,12,pca,classic_quantile,aic,0.2772772772772773,0.2528806708380427,0.998998998998999,0.0,2.0,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",3.3261630420000188,,,False,
throughput_1,12,pca,kmeans,bic,0.0,0.08328678403651052,0.998998998998999,0.908908908908909,0.0,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",1.9873481249999827,,,False,
throughput_1,12,pca,kmeans,aic,0.11411411411411411,0.20931440985796437,0.998998998998999,0.908908908908909,0.0,13.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",2.864752332999956,,,False,
throughput_1,12,pca,dbscan,bic,0.09109109109109109,0.030953829781802507,0.4864864864864865,0.09109109109109109,43.0,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",1.17653150000001,,,False,
throughput_1,12,pca,dbscan,aic,0.0920920920920921,0.09498271404506943,0.4864864864864865,0.09109109109109109,43.0,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'throughput_1']",1.6372255829999744,,,False,
throughput_1,20,markov,classic_uniform,bic,,,,,,,,7.698300709000023,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,20,markov,classic_uniform,aic,,,,,,,,7.167398917000014,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,20,markov,classic_quantile,bic,0.908908908908909,0.37313735668892634,0.998998998998999,0.0,2.0,21.0,"['buffer_size_2', 'data_quality_3', 'process_resident_memory_bytes_1', 'throughput_3', 'python_gc_objects_collected_total_7', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'python_gc_collections_total_4', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_3', 'python_gc_collections_total_3', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_collections_total_5', 'throughput_1']",7.999241374999997,,,False,
throughput_1,20,markov,classic_quantile,aic,0.998998998998999,0.6728864432549129,0.998998998998999,0.0,2.0,20.0,"['python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'python_gc_collections_total_4', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_3', 'python_gc_collections_total_3', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_collections_total_5', 'throughput_1']",7.534625791999986,,,False,
throughput_1,20,markov,kmeans,bic,0.2772772772772773,0.4137395167199073,0.998998998998999,0.908908908908909,0.0,21.0,"['buffer_size_2', 'data_quality_3', 'process_resident_memory_bytes_1', 'throughput_3', 'python_gc_objects_collected_total_7', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'python_gc_collections_total_4', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_3', 'python_gc_collections_total_3', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_collections_total_5', 'throughput_1']",8.042453417000047,,,False,
throughput_1,20,markov,kmeans,aic,0.908908908908909,0.43005309441572764,0.998998998998999,0.908908908908909,0.0,21.0,"['cores_3', 'python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'process_cpu_seconds_total_3', 'python_gc_collections_total_1', 'process_cpu_seconds_total_2', 'process_cpu_seconds_total_1', 'python_gc_collections_total_4', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_3', 'python_gc_collections_total_3', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_collections_total_5', 'throughput_1']",8.067417458000023,,,False,
