target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
throughput_1,8,markov,classic_uniform,bic,0.33271719038817005,0.3115265518966994,9.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'throughput_1']",4.332090322976001,
throughput_1,8,markov,classic_uniform,aic,0.6654343807763401,0.663639654608704,9.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'throughput_1']",4.760175365023315,
throughput_1,8,markov,classic_quantile,bic,0.333641404805915,0.3231742190117939,8.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'throughput_1']",3.901988269062713,
throughput_1,8,markov,classic_quantile,aic,0.333641404805915,0.4582630825518161,8.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'throughput_1']",4.119362725992687,
throughput_1,8,markov,kmeans,bic,0.333641404805915,0.2591428116524133,9.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'throughput_1']",4.415555011946708,
throughput_1,8,markov,kmeans,aic,0.33271719038817005,0.24796868145006418,9.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'throughput_1']",4.886068584048189,
throughput_1,8,markov,dbscan,bic,0.33271719038817005,0.34536227757368576,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",3.8761015459895134,
throughput_1,8,markov,dbscan,aic,0.33271719038817005,0.34499969542070175,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",4.483296800986864,
throughput_1,8,mrmr,classic_uniform,bic,0.33271719038817005,0.26584092158108746,9.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'throughput_1']",6.488911745953374,
throughput_1,8,mrmr,classic_uniform,aic,0.6654343807763401,0.6637915738657448,9.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'throughput_1']",6.602891304064542,
throughput_1,8,mrmr,classic_quantile,bic,0.9972273567467652,0.9438327714991944,8.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'throughput_1']",6.266784986946732,
throughput_1,8,mrmr,classic_quantile,aic,0.9972273567467652,0.7665171362607776,8.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'throughput_1']",6.807276948005892,
throughput_1,8,mrmr,kmeans,bic,0.6654343807763401,0.6649583162565678,9.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'throughput_1']",6.381311737000942,
throughput_1,8,mrmr,kmeans,aic,0.6654343807763401,0.6897746822860497,9.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'throughput_1']",6.612267251941375,
throughput_1,8,mrmr,dbscan,bic,0.33271719038817005,0.34584184019050407,8.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'data_quality_2', 'throughput_1']",6.398625432047993,
throughput_1,8,mrmr,dbscan,aic,0.4121996303142329,0.38886717828764433,8.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'data_quality_2', 'throughput_1']",6.618798739043996,
throughput_1,8,pca,classic_uniform,bic,0.33271719038817005,0.2480865018964857,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.00927421299275,
throughput_1,8,pca,classic_uniform,aic,0.32532347504621073,0.24838910786015816,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.878721090964973,
throughput_1,8,pca,classic_quantile,bic,0.33271719038817005,0.3198019378867957,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.3231026760768145,
throughput_1,8,pca,classic_quantile,aic,0.33271719038817005,0.33301756008665995,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",3.0288227240089327,
throughput_1,8,pca,kmeans,bic,0.33086876155268025,0.2371427147594775,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.395394159015268,
throughput_1,8,pca,kmeans,aic,0.3807763401109057,0.34986588586246337,9.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.5986679650377482,
throughput_1,8,pca,dbscan,bic,,,,,0.1696180070284754,The node throughput_1_t1 is not in the digraph.
throughput_1,8,pca,dbscan,aic,0.3345656192236599,0.12109163355277242,7.0,"['pca_1', 'pca_2', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'throughput_1']",1.3923354180296883,
throughput_1,10,markov,classic_uniform,bic,0.33271719038817005,0.31146437688053075,11.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'throughput_1']",4.854459450929426,
throughput_1,10,markov,classic_uniform,aic,0.6654343807763401,0.6637915738657448,11.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'throughput_1']",5.183408538927324,
throughput_1,10,markov,classic_quantile,bic,0.9972273567467652,0.7616163602924813,10.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'throughput_1']",4.712224638904445,
throughput_1,10,markov,classic_quantile,aic,0.6654343807763401,0.4302722847628961,10.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'throughput_1']",4.711142284912057,
throughput_1,10,markov,kmeans,bic,0.333641404805915,0.2750077084486685,11.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'throughput_1']",4.678584611043334,
throughput_1,10,markov,kmeans,aic,0.33271719038817005,0.24830361512340623,11.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'throughput_1']",4.77431999205146,
throughput_1,10,markov,dbscan,bic,0.33271719038817005,0.34536227757368576,7.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'buffer_size_2', 'throughput_1']",4.103385248919949,
throughput_1,10,markov,dbscan,aic,0.33271719038817005,0.34499969542070175,7.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'buffer_size_2', 'throughput_1']",4.654128481051885,
throughput_1,10,mrmr,classic_uniform,bic,0.6654343807763401,0.33835213947186227,11.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'throughput_1']",9.536967529915273,
throughput_1,10,mrmr,classic_uniform,aic,0.6654343807763401,0.663791573865745,11.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'throughput_1']",9.449033971060999,
throughput_1,10,mrmr,classic_quantile,bic,0.9972273567467652,0.8325972219874833,10.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'throughput_1']",9.753510609036312,
throughput_1,10,mrmr,classic_quantile,aic,0.9972273567467652,0.812650952407931,10.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'throughput_1']",9.850268861977383,
throughput_1,10,mrmr,kmeans,bic,0.6654343807763401,0.5266986621555719,11.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'throughput_1']",9.574798368965276,
throughput_1,10,mrmr,kmeans,aic,0.6654343807763401,0.6809370369769019,11.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'scrape_duration_seconds_1', 'data_quality_2', 'buffer_size_3', 'process_cpu_seconds_total_1', 'throughput_1']",9.506639912026003,
throughput_1,10,mrmr,dbscan,bic,0.4121996303142329,0.3898749851853346,9.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'data_quality_2', 'buffer_size_3', 'throughput_1']",9.42078023799695,
