target,K,n_bins,fs,disc,score,accuracy,f1,precision,recall,log_loss,persistence_accuracy,persistence_f1,persistence_precision,persistence_recall,ar_dbn_accuracy,ar_dbn_f1,ar_dbn_precision,ar_dbn_recall,ar_dbn_log_loss,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,12,8.0,mrmr,kmeans,bic,0.6117297698589458,0.5874280625469404,0.6519118033419067,0.582662477360701,1.347077647214109,0.8678544914625093,0.8317576395241347,0.8317781544294499,0.8317380668776017,0.25092798812175204,0.050148367952522255,0.031365998515219005,0.125,1.8923113175606419,13.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,python_gc_objects_collected_total_1,buffer_size_2,avg_p_latency_3,data_quality_1,scrape_duration_seconds_2,cores_1,throughput_3",,,0.7569190869107842,0.49694769596681,32.91930661094375,642.0,705.0,,,False,30,,0.44543429844098,0.5315515961395694,0.6117297698589458,0.3974462956036208,0.4070663390367249,0.5874280625469404,0.5340761274337771,0.4367507655561353,0.6519118033419067,0.3574131735597056,0.44544368158336123,0.582662477360701,1.7016809481180928,1.286467648393514,1.347077647214109
throughput_3,12,2.0,mrmr,kmeans,aic,0.8507795100222717,0.7882448175131103,0.8172588919288646,0.7693787532087394,0.35055271217548,0.9510022271714922,0.9354607807835713,0.9354607807835713,0.9354607807835713,0.7453600593912398,0.42705231816248407,0.3726800296956199,0.5,0.576794849183462,13.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,python_gc_objects_collected_total_1,buffer_size_2,avg_p_latency_3,data_quality_1,scrape_duration_seconds_2,cores_1,throughput_3",,,1.5395552860572934,0.45237212907522917,33.59574071899988,1240.0,107.0,,,False,30,,0.7847067557535263,0.8292501855976243,0.8507795100222717,0.7818177552971877,0.7663236305709424,0.7882448175131103,0.7856988526628628,0.7987063194537422,0.8172588919288646,0.8028805026154515,0.7477058999866768,0.7693787532087394,0.5663633132352908,0.4110965537084917,0.35055271217548
throughput_3,12,3.0,mrmr,kmeans,aic,0.8151447661469933,0.8128247588957344,0.8232180817911997,0.804555174210706,0.6075343250425439,0.9265033407572383,0.914153959306475,0.9141389976318206,0.9141698561870707,0.44988864142538976,0.20686123911930365,0.14996288047512993,0.3333333333333333,1.0219530437677082,13.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,python_gc_objects_collected_total_1,buffer_size_2,avg_p_latency_3,data_quality_1,scrape_duration_seconds_2,cores_1,throughput_3",,,2.0791058130562305,0.6365772089920938,35.25926969689317,1064.0,283.0,,,False,30,,0.6391982182628062,0.8144023756495917,0.8151447661469933,0.6151904797841343,0.8073022892696958,0.8128247588957344,0.6739565994617666,0.8234444803479563,0.8232180817911997,0.691493049239735,0.7951665161352871,0.804555174210706,0.8698086075947841,0.6120832253873277,0.6075343250425439
throughput_3,12,4.0,mrmr,kmeans,aic,0.6844840386043058,0.5919430845067272,0.7254182451760546,0.5850794707072441,0.9602175032180109,0.9161098737936154,0.8821964285150317,0.8821660010951597,0.8822276383158036,0.44766146993318484,0.15461538461538463,0.11191536748329621,0.25,1.1702782189966097,13.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,python_gc_objects_collected_total_1,buffer_size_2,avg_p_latency_3,data_quality_1,scrape_duration_seconds_2,cores_1,throughput_3",,,2.885024372022599,1.1893914740066975,36.770242708036676,930.0,417.0,,,False,30,,0.5590200445434298,0.7238307349665924,0.6844840386043058,0.4820607174910049,0.7580614915775297,0.5919430845067272,0.5187994329558766,0.7679552838157704,0.7254182451760546,0.6260375208409291,0.7676715882548841,0.5850794707072441,1.2861933415642182,0.7867568800453334,0.9602175032180109
throughput_3,12,5.0,mrmr,kmeans,aic,0.6466221232368226,0.5173081034666668,0.5088541661442423,0.5354663194058389,1.2324810477645611,0.8804751299183371,0.859177735613644,0.8592543347871338,0.8591020764076343,0.2858203414996288,0.08891454965357967,0.05716406829992576,0.2,1.4693691557465314,13.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,python_gc_objects_collected_total_1,buffer_size_2,avg_p_latency_3,data_quality_1,scrape_duration_seconds_2,cores_1,throughput_3",,,2.160566963022575,0.5488054680172354,35.13623382803053,829.0,518.0,,,False,30,,0.5189309576837416,0.7126948775055679,0.6466221232368226,0.47456335341480055,0.6303040622782771,0.5173081034666668,0.5166509575671174,0.6643181182698423,0.5088541661442423,0.6199951190509955,0.6182875272804902,0.5354663194058389,1.258787337017001,0.9222618423586785,1.2324810477645611
throughput_3,12,6.0,mrmr,kmeans,aic,0.5367483296213809,0.5108666175416646,0.5464555154127061,0.505578300930858,1.3356871148887601,0.8775055679287305,0.8620114727198374,0.8620473226469582,0.8619768351128508,0.25092798812175204,0.06686449060336301,0.04182133135362534,0.16666666666666666,1.7243623104753445,13.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,python_gc_objects_collected_total_1,buffer_size_2,avg_p_latency_3,data_quality_1,scrape_duration_seconds_2,cores_1,throughput_3",,,1.7597967840265483,0.904821053147316,35.2989606379997,728.0,619.0,,,False,30,,0.4484038604305865,0.48552338530066813,0.5367483296213809,0.41942005126933424,0.42371741916978484,0.5108666175416646,0.442036479094182,0.41501530421634564,0.5464555154127061,0.43011162515465173,0.4520201976775475,0.505578300930858,1.694398177501261,1.442638102008782,1.3356871148887601
throughput_3,12,8.0,mrmr,kmeans,aic,0.5961395694135115,0.5066322174706408,0.4990468274886954,0.5608892997764865,1.196766071355629,0.8678544914625093,0.8317576395241347,0.8317781544294499,0.8317380668776017,0.25092798812175204,0.050148367952522255,0.031365998515219005,0.125,1.8923113175606419,13.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,python_gc_objects_collected_total_1,buffer_size_2,avg_p_latency_3,data_quality_1,scrape_duration_seconds_2,cores_1,throughput_3",,,3.075982253998518,1.0963399501051754,37.20926869590767,642.0,705.0,,,False,30,,0.2806236080178174,0.5946547884187082,0.5961395694135115,0.2461931826169132,0.514759337503249,0.5066322174706408,0.3303080237067532,0.5382162645952282,0.4990468274886954,0.2553414920910043,0.5089068183488412,0.5608892997764865,2.4121529147624448,1.490648731714167,1.196766071355629
throughput_3,12,,mrmr,dbscan,bic,0.25686711210096513,0.05019665415148882,0.039182374345955354,0.09515343872500677,3.736831280049469,0.5419450631031922,0.3489530106820435,0.3489675068720782,0.3489432335241666,0.09502598366740905,0.003471186440677966,0.001900519673348181,0.02,3.6463018235939124,11.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,buffer_size_2,avg_p_latency_3,data_quality_1,cores_1,throughput_3",,,0.5419249020051211,0.3884480318520218,32.88415138795972,494.0,853.0,,,False,30,,0.017817371937639197,0.15219005196733482,0.25686711210096513,0.0020242914979757085,0.03544774639189169,0.05019665415148882,0.0013736263736263737,0.028894184113282248,0.039182374345955354,0.0038461538461538464,0.07046996426057035,0.09515343872500677,5.250458791134314,3.9271171079356004,3.736831280049469
throughput_3,12,,mrmr,dbscan,aic,0.20193021529324426,0.13677793581972228,0.14621188417378556,0.16059825019616036,3.322930419911713,0.5419450631031922,0.3489530106820435,0.3489675068720782,0.3489432335241666,0.09502598366740905,0.003471186440677966,0.001900519673348181,0.02,3.6463018235939124,11.0,"throughput_2,buffer_size_3,throughput_1,avg_p_latency_2,avg_p_latency_1,buffer_size_1,buffer_size_2,avg_p_latency_3,data_quality_1,cores_1,throughput_3",,,1.069151815958321,0.833310361020267,35.646495840046555,214.0,1133.0,,,False,30,,0.2516703786191537,0.1714922048997773,0.20193021529324426,0.15114326191224872,0.1361575451858018,0.13677793581972228,0.18613176191923766,0.14439968113561452,0.14621188417378556,0.1667042539472869,0.16689116959589165,0.16059825019616036,3.7151638904172937,3.4742731384025642,3.322930419911713
throughput_3,12,2.0,pca,classic_uniform,bic,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4538015374296284,0.9628804751299184,0.9325825825825826,0.9325825825825826,0.9325825825825826,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4509221326960408,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,1.110437192954123,0.35719907796010375,2.2796135910321027,1269.0,78.0,,,False,30,,,,0.8351893095768375,,,0.4550970873786408,,,0.41759465478841873,,,0.5,,,0.4538015374296284
