variable,variable_state,prob,data_quality,avg_p_latency,container_last_seen,cores,container_cpu_system_seconds_total,container_cpu_cfs_throttled_periods_total,container_memory_max_usage_bytes,container_cpu_cfs_periods_total,container_memory_cache,container_cpu_cfs_throttled_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,throughput,container_spec_cpu_quota
container_cpu_cfs_throttled_seconds_total,0,0.002500625156289072,,2.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.7721930482620656,,2.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.22530632658164543,,2.0,,2.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.0014808233377758032,,2.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.0014808233377758032,,2.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.9970383533244485,,2.0,,3.0,1.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.3333333333333333,,2.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.3333333333333333,,2.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.3333333333333333,,2.0,,1.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.3333333333333333,,2.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.3333333333333333,,2.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.3333333333333333,,2.0,,2.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,0,0.002270663033605813,,2.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,1,0.002270663033605813,,2.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_throttled_seconds_total,2,0.9954586739327884,,2.0,,3.0,2.0,,,,,,,,,
container_cpu_cfs_periods_total,0,0.6301247771836007,0.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.12477718360071301,0.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.24509803921568626,0.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.3333333333333333,1.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.3333333333333333,1.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.3333333333333333,1.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.3333333333333333,2.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.3333333333333333,2.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.3333333333333333,2.0,,,,,0.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.9984978218416704,0.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.0007510890791647889,0.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.0007510890791647889,0.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.8822695035460992,1.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.11631205673758864,1.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.0014184397163120564,1.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.3333333333333333,2.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.3333333333333333,2.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.3333333333333333,2.0,,,,,0.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.05131698455949138,0.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.39464123524069034,0.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.5540417801998184,0.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.01366120218579235,1.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.9726775956284153,1.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.01366120218579235,1.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.004930966469428007,2.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.6972386587771203,2.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.29783037475345164,2.0,,,,,1.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.6420150053590569,0.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.32368703108252944,0.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.03429796355841372,0.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.04106972301814708,1.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.8276026743075453,1.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.13132760267430751,1.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.006751054852320674,2.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.5137130801687764,2.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.47953586497890294,2.0,,,,,1.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.017543859649122806,0.0,,,,,2.0,0.0,,,,,,,
