target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,model_pkl_path,edges_csv_path,error
throughput_1,20,pca,kmeans,aic,0.6926926926926927,0.2629731383944963,21.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14', 'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'throughput_1']",6.798381416999973,,,
throughput_1,20,pca,dbscan,bic,0.23323323323323322,0.08174188423036237,20.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14', 'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'throughput_1']",2.665938917000176,,,
throughput_1,20,pca,dbscan,aic,0.3063063063063063,0.03373032633766687,20.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_8', 'pca_9', 'pca_10', 'pca_11', 'pca_12', 'pca_13', 'pca_14', 'pca_15', 'pca_16', 'pca_17', 'pca_18', 'pca_19', 'pca_20', 'throughput_1']",4.467855667000094,,,
throughput_2,3,markov,classic_uniform,bic,,,,,4.435510000000022,,,2
throughput_2,3,markov,classic_uniform,aic,,,,,4.385732916999814,,,2
throughput_2,3,markov,classic_quantile,bic,0.6906906906906907,0.6812159109851487,4.0,"['throughput_3', 'data_quality_1', 'throughput_1', 'throughput_2']",4.487876457999846,,,
throughput_2,3,markov,classic_quantile,aic,0.6906906906906907,0.7420199488126623,4.0,"['throughput_3', 'data_quality_1', 'throughput_1', 'throughput_2']",4.546053792000066,,,
throughput_2,3,markov,kmeans,bic,0.6896896896896897,0.7433543317434483,4.0,"['throughput_3', 'data_quality_1', 'throughput_1', 'throughput_2']",4.51639358400007,,,
throughput_2,3,markov,kmeans,aic,0.6896896896896897,0.6848187572568776,4.0,"['throughput_3', 'data_quality_1', 'throughput_1', 'throughput_2']",4.553036667000015,,,
throughput_2,3,markov,dbscan,bic,0.3983983983983984,0.3066687099224489,4.0,"['throughput_3', 'data_quality_1', 'throughput_1', 'throughput_2']",4.4272849999999835,,,
throughput_2,3,markov,dbscan,aic,0.5875875875875876,0.35287302410203497,4.0,"['throughput_3', 'data_quality_1', 'throughput_1', 'throughput_2']",4.479401083000084,,,
throughput_2,3,mrmr,classic_uniform,bic,,,,,1.6031466250001358,,,2
throughput_2,3,mrmr,classic_uniform,aic,,,,,1.6145905830001084,,,2
throughput_2,3,mrmr,classic_quantile,bic,0.996996996996997,0.940900323421038,4.0,"['buffer_size_2', 'throughput_3', 'throughput_1', 'throughput_2']",1.819515334000016,,,
throughput_2,3,mrmr,classic_quantile,aic,0.995995995995996,0.9224036962510659,4.0,"['buffer_size_2', 'throughput_3', 'throughput_1', 'throughput_2']",1.8828901249999035,,,
throughput_2,3,mrmr,kmeans,bic,0.6906906906906907,0.7516902757378938,4.0,"['buffer_size_2', 'throughput_3', 'throughput_1', 'throughput_2']",1.8536522079998576,,,
throughput_2,3,mrmr,kmeans,aic,0.6916916916916916,0.48361457583905293,4.0,"['buffer_size_2', 'throughput_3', 'throughput_1', 'throughput_2']",1.8823945829999502,,,
throughput_2,3,mrmr,dbscan,bic,,,,,1.597570542000085,,,The node throughput_2_t1 is not in the digraph.
throughput_2,3,mrmr,dbscan,aic,0.5705705705705706,0.3002372800322236,4.0,"['buffer_size_2', 'throughput_3', 'throughput_1', 'throughput_2']",1.936150792000035,,,
throughput_2,3,pca,classic_uniform,bic,,,,,0.33757775000003676,,,1
throughput_2,3,pca,classic_uniform,aic,,,,,0.3340542920000189,,,1
