K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
10,markov,classic_quantile,aic,0.732,0.4261816864040274,11.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'throughput']",8.194448333000025,
10,markov,kmeans,bic,0.432,0.2800978136767583,11.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'throughput']",8.046282833999982,
10,markov,kmeans,aic,0.44,0.36809752068728985,11.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'throughput']",8.032976667000014,
10,markov,dbscan,bic,0.0,0.029459059610466267,7.0,"['cores', 'data_quality', 'container_memory_cache', 'avg_p_latency', 'container_memory_rss', 'container_memory_max_usage_bytes', 'throughput']",7.617987624999984,
10,markov,dbscan,aic,0.0,0.03041988228030668,7.0,"['cores', 'data_quality', 'container_memory_cache', 'avg_p_latency', 'container_memory_rss', 'container_memory_max_usage_bytes', 'throughput']",7.672584124999986,
10,mrmr,classic_uniform,bic,0.228,0.26075173575947963,10.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'throughput']",4.2819545420000225,
10,mrmr,classic_uniform,aic,0.228,0.2712990945256754,10.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'throughput']",4.472033667000005,
10,mrmr,classic_quantile,bic,0.732,0.4959518707630208,10.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'throughput']",4.384236749999985,
10,mrmr,classic_quantile,aic,0.696,0.4742100323353765,10.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'throughput']",4.49391029200001,
10,mrmr,kmeans,bic,0.18,0.18109477915199554,10.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'throughput']",4.371903040999996,
10,mrmr,kmeans,aic,0.18,0.18404060138371062,10.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'throughput']",4.469598707999978,
10,mrmr,dbscan,bic,0.0,0.029459059610466267,7.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'data_quality', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",4.076514209000038,
10,mrmr,dbscan,aic,0.0,0.030419882280306676,7.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'data_quality', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",4.169614333000027,
10,pca,classic_uniform,bic,0.452,0.4111570142084563,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput']",0.7046404580000285,
10,pca,classic_uniform,aic,0.268,0.3293548512777471,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput']",0.9832384169999955,
10,pca,classic_quantile,bic,0.404,0.48782767000392985,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput']",0.8291173750000098,
10,pca,classic_quantile,aic,0.328,0.33401872190642823,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput']",1.2830636250000111,
10,pca,kmeans,bic,0.12,0.14082303617521796,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput']",0.7656793330000369,
10,pca,kmeans,aic,0.408,0.3686840297265581,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput']",1.018572249999977,
10,pca,dbscan,bic,,,,,0.023138040999981513,The node throughput_t1 is not in the digraph.
10,pca,dbscan,aic,0.42,0.17449813219486157,1.0,['throughput'],0.09095716600000969,
12,markov,classic_uniform,bic,0.44,0.3682690091478155,13.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'throughput']",8.177110958000014,
12,markov,classic_uniform,aic,0.44,0.3682690091478155,13.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'throughput']",8.233225041999958,
