target,K,n_bins,fs,disc,score,accuracy,mean_prob_true,mae,accuracy_t2,mae_t2,naive_dbn_accuracy,naive_dbn_mean_prob,naive_dbn_mae,persistence_accuracy,majority_accuracy,majority_class,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error
throughput_3,3,3.0,markov,kmeans,bic,0.680029695619896,0.5366946577566287,47.49613301460849,,,0.44988864142538976,0.39978250708020563,99.84776367013497,0.9265033407572383,0.44988864142538976,0.0,4.0,"throughput_2,throughput_1,buffer_size_3,throughput_3",7.0,trimmed,0.08079805003944784,0.05479367100633681,7.973725487012416,1328.0,19.0,,,False,30,
throughput_3,3,4.0,markov,kmeans,bic,0.8322197475872308,0.7318118747648378,27.7353063144953,,,0.44766146993318484,0.3743557012840606,94.73243681950947,0.9161098737936154,0.44766146993318484,0.0,4.0,"throughput_2,throughput_1,buffer_size_3,throughput_3",6.0,trimmed,0.08821193198673427,0.05343943799380213,7.116649258998223,1320.0,27.0,,,False,30,
throughput_3,3,5.0,markov,kmeans,bic,0.8270230141054195,0.6871904571861703,20.902212466449274,,,0.2858203414996288,0.2754892903296764,107.99846471377408,0.8804751299183371,0.2858203414996288,0.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",5.0,trimmed,0.08160634990781546,0.05726373894140124,6.274707658099942,1301.0,46.0,,,False,30,
throughput_3,3,6.0,markov,kmeans,bic,0.43801039346696363,0.32681989667240385,81.93954434518628,,,0.25092798812175204,0.217594517308697,117.70653090533958,0.8775055679287305,0.25092798812175204,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",2.0,padded,0.09731353400275111,0.06056361098308116,5.823018384049647,1290.0,57.0,,,False,30,
throughput_3,3,8.0,markov,kmeans,bic,0.6117297698589458,0.536222485432734,41.32168903712732,,,0.25092798812175204,0.2048649605433199,114.85640908517944,0.8678544914625093,0.25092798812175204,0.0,4.0,"throughput_2,data_quality_1,throughput_1,throughput_3",2.0,padded,0.08647890202701092,0.0692792619811371,5.70257787394803,1233.0,114.0,,,False,30,
throughput_3,3,2.0,markov,kmeans,aic,0.9101707498144024,0.833938028620856,21.570997277901512,,,0.7453600593912398,0.6481247765954522,61.14753773818362,0.9510022271714922,0.7453600593912398,0.0,4.0,"throughput_2,buffer_size_3,avg_p_latency_1,throughput_3",10.0,trimmed,0.10141730704344809,0.04950659500900656,16.854441274888813,1340.0,7.0,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_kmeans_aic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_markov_kmeans_aic_bins2_edges.csv,False,30,
throughput_3,3,3.0,markov,kmeans,aic,0.8485523385300668,0.7560057384699622,25.931856328935503,,,0.44988864142538976,0.39978250708020563,99.84776367013497,0.9265033407572383,0.44988864142538976,0.0,4.0,"throughput_2,throughput_1,buffer_size_3,throughput_3",12.0,trimmed,0.11254512309096754,0.05303688207641244,10.292651330004446,1328.0,19.0,,,False,30,
throughput_3,3,4.0,markov,kmeans,aic,0.7676317743132888,0.5179740730865862,34.901160367955704,,,0.44766146993318484,0.3743557012840606,94.73243681950947,0.9161098737936154,0.44766146993318484,0.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",5.0,trimmed,0.12501179601531476,0.05475114600267261,7.838104187045246,1319.0,28.0,,,False,30,
throughput_3,3,5.0,markov,kmeans,aic,0.7809948032665182,0.6848301229183444,25.099893814302394,,,0.2858203414996288,0.2754892903296764,107.99846471377408,0.8804751299183371,0.2858203414996288,0.0,4.0,"throughput_2,buffer_size_3,python_gc_objects_collected_total_4,throughput_3",8.0,trimmed,0.10967185895424336,0.054722314001992345,6.841010975069366,1295.0,52.0,,,False,30,
throughput_3,3,6.0,markov,kmeans,aic,0.7646622123236823,0.6653556783560092,25.144005604691735,,,0.25092798812175204,0.21759451730869697,117.70653090533958,0.8775055679287305,0.25092798812175204,0.0,4.0,"throughput_2,buffer_size_3,scrape_duration_seconds_2,throughput_3",4.0,trimmed,0.11013777693733573,0.06199267797637731,6.68624313804321,1285.0,62.0,,,False,30,
throughput_3,3,8.0,markov,kmeans,aic,0.7074981440237565,0.5858065568667451,42.5104517285917,,,0.25092798812175204,0.20486496054331985,114.85640908517944,0.8678544914625093,0.25092798812175204,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",2.0,padded,0.11446373991202563,0.06177791103255004,5.931850545108318,1270.0,77.0,,,False,30,
throughput_3,3,,markov,dbscan,bic,0.3771343726800297,0.2805736348510686,28.22255519326627,,,0.09502598366740905,0.04152576612596704,104.42724471089282,0.5419450631031922,0.09502598366740905,9.0,4.0,"throughput_2,throughput_1,buffer_size_3,throughput_3",10.0,trimmed,0.09385758894495666,0.08253694197628647,9.25419093191158,1049.0,298.0,,,False,30,
throughput_3,3,,markov,dbscan,aic,0.17668893838158872,0.04772879261364822,90.7020925273662,,,0.09502598366740905,0.04152576612596704,104.42724471089282,0.5419450631031922,0.09502598366740905,9.0,4.0,"throughput_2,buffer_size_3,data_quality_1,throughput_3",5.0,trimmed,0.26181376504246145,0.15026028093416244,15.04388811707031,830.0,517.0,,,False,30,
throughput_3,3,2.0,mrmr,classic_uniform,bic,0.9584261321455085,0.9005409448281497,9.98327146745855,,,0.8351893095768375,0.7440674750474306,39.576540460282104,0.9628804751299184,0.8351893095768375,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.09124699607491493,0.0484708909643814,2.2531115469755605,1343.0,4.0,saved_dbn_models_top5_20260313_192652_seed783122/rank3_dbn_throughput_3_K3_mrmr_classic_uniform_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122/rank3_dbn_throughput_3_K3_mrmr_classic_uniform_bic_bins2_edges.csv,False,30,
throughput_3,3,3.0,mrmr,classic_uniform,bic,0.8878990348923533,0.7890845908090074,20.085391404767797,,,0.6993318485523385,0.5641388270230142,62.63314361131733,0.9198218262806236,0.6993318485523385,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.09333584900014102,0.049863652093335986,2.2551830440061167,1336.0,11.0,,,False,30,
throughput_3,3,4.0,mrmr,classic_uniform,bic,0.8285077951002228,0.7282936426001039,23.79940608760208,,,0.4669636228656273,0.38632936016937497,91.6321702548874,0.8960653303637713,0.4669636228656273,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.09843630192335695,0.053594194003380835,2.265286453999579,1325.0,22.0,,,False,30,
throughput_3,3,5.0,mrmr,classic_uniform,bic,0.8017817371937639,0.6780935979517464,24.672942341004706,,,0.4446919079435783,0.33940677500068733,94.76976985894579,0.8975501113585747,0.4446919079435783,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.09186091204173863,0.05664257798343897,2.2681570979766548,1313.0,34.0,,,False,30,
throughput_3,3,6.0,mrmr,classic_uniform,bic,0.7631774313288789,0.6371281687335585,24.898754433721024,,,0.2969561989606533,0.27455552805961125,104.94319887816549,0.8485523385300668,0.2969561989606533,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.08686748205218464,0.054800971993245184,2.278951048036106,1298.0,49.0,,,False,30,
throughput_3,3,8.0,mrmr,classic_uniform,bic,0.7520415738678545,0.5876989771002211,24.73533778767632,,,0.25315515961395696,0.2102098971651681,116.10009898539964,0.8418708240534521,0.25315515961395696,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.08620425302069634,0.06081910210195929,2.2544288700446486,1270.0,77.0,,,False,30,
throughput_3,3,2.0,mrmr,classic_uniform,aic,0.9517446176688938,0.8644665322911292,11.58772581044296,,,0.8351893095768375,0.7440674750474306,39.576540460282104,0.9628804751299184,0.8351893095768375,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.1018663669237867,0.05032560194376856,2.2178365300642326,1343.0,4.0,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_mrmr_classic_uniform_aic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122/rank5_dbn_throughput_3_K3_mrmr_classic_uniform_aic_bins2_edges.csv,False,30,
throughput_3,3,3.0,mrmr,classic_uniform,aic,0.6696362286562731,0.5440178146225964,56.33417470923039,,,0.6993318485523385,0.5641388270230142,62.63314361131733,0.9198218262806236,0.6993318485523385,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.10353819793090224,0.05150058900471777,2.195558806997724,1336.0,11.0,,,False,30,
throughput_3,3,4.0,mrmr,classic_uniform,aic,0.5018559762435041,0.451506603276799,72.73526354862658,,,0.4669636228656273,0.38632936016937497,91.6321702548874,0.8960653303637713,0.4669636228656273,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.11310318997129798,0.0529845179989934,2.228792162030004,1325.0,22.0,,,False,30,
