target,K,n_bins,fs,disc,score,accuracy,f1,log_loss,persistence_accuracy,persistence_f1,ar_dbn_accuracy,ar_dbn_f1,ar_dbn_log_loss,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,8,4.0,markov,classic_quantile,aic,0.7164068299925761,0.6922350139924369,0.9868525538495825,0.9079435783221975,0.9076842108441509,0.12694877505567928,0.05632411067193676,1.3863672939628553,9.0,"avg_p_latency_3,cores_1,cores_3,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,throughput_3",5.0,padded,1.3451802770141512,0.20586590096354485,10.065738468896598,1185.0,162.0,,,False,30,,0.6043058648849294,0.6607275426874536,0.7164068299925761,0.41958818071980025,0.523387490294569,0.6922350139924369,1.123058568574531,1.065110633087495,0.9868525538495825
throughput_3,8,5.0,markov,classic_quantile,aic,0.7119524870081663,0.66983792608587,1.1226430399012266,0.8626577579806979,0.845499961543088,0.14996288047512993,0.052162685603615234,1.609291431485734,9.0,"avg_p_latency_3,cores_3,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.8503700499422848,0.236731112934649,9.010200103977695,1092.0,255.0,,,False,30,,0.48700816629547145,0.5991091314031181,0.7119524870081663,0.34329956734601896,0.4784486873937658,0.66983792608587,1.366164084477379,1.1287674586250578,1.1226430399012266
throughput_3,8,6.0,markov,classic_quantile,aic,0.6703786191536748,0.6508412628696586,1.309085670235067,0.8596881959910914,0.8657998013014473,0.19970304380103934,0.05548679867986799,1.7917798209935207,9.0,"avg_p_latency_3,cores_1,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,1.5143553488887846,0.26092506805434823,9.3320655929856,1075.0,272.0,,,False,30,,0.5664439495174461,0.6317743132887899,0.6703786191536748,0.39693488597690335,0.5643815380339258,0.6508412628696586,1.548929095478993,1.1289259649588745,1.309085670235067
throughput_3,8,8.0,markov,classic_quantile,aic,0.5961395694135115,0.5473552139750252,1.5988839231097625,0.8433556050482554,0.8394013362382622,0.15293244246473645,0.03316162266580811,2.078418845689483,9.0,"scrape_duration_seconds_3,buffer_size_1,avg_p_latency_3,throughput_1,buffer_size_3,throughput_2,scrape_duration_seconds_2,python_gc_objects_collected_total_1,throughput_3",7.0,padded,1.1631926980335265,0.6290705741848797,10.313904100097716,205.0,1142.0,,,False,30,,0.5107646622123236,0.7253155159613957,0.5961395694135115,0.34428471964354773,0.6847744992699359,0.5473552139750252,1.650128754869703,0.9834016598147798,1.5988839231097625
throughput_3,8,2.0,markov,kmeans,bic,0.8730512249443207,0.821074267497221,0.3683970689739015,0.9510022271714922,0.9354607807835713,0.7453600593912398,0.42705231816248407,0.576794849183462,9.0,"scrape_duration_seconds_3,buffer_size_1,cores_3,data_quality_2,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,throughput_3",6.0,padded,0.4445649879053235,0.15986094996333122,10.518951412057504,1309.0,38.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260508_130018/rank5_dbn_throughput_3_K8_markov_kmeans_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260508_130018/rank5_dbn_throughput_3_K8_markov_kmeans_bic_bins2_edges.csv,False,30,,0.6139569413511508,0.7884187082405345,0.8730512249443207,0.6095565118508773,0.7414731843120195,0.821074267497221,0.8620963721862858,0.49851775609816223,0.3683970689739015
throughput_3,8,3.0,markov,kmeans,bic,0.8092056421677802,0.7888603555866224,0.5520606466877019,0.9265033407572383,0.914153959306475,0.44988864142538976,0.20686123911930365,1.0219530437677082,9.0,"scrape_duration_seconds_3,avg_p_latency_3,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.409124962054193,0.1694684529211372,8.55422339704819,1252.0,95.0,,,False,30,,0.6035634743875279,0.8047512991833704,0.8092056421677802,0.5708349620985257,0.790669138748815,0.7888603555866224,1.1819911721304606,0.5664916094149057,0.5520606466877019
throughput_3,8,4.0,markov,kmeans,bic,0.8418708240534521,0.8250278696623256,0.5155578472729034,0.9161098737936154,0.8821964285150317,0.44766146993318484,0.15461538461538463,1.1702782189966097,9.0,"scrape_duration_seconds_3,avg_p_latency_3,buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.4147614990361035,0.19906468107365072,8.244770569959655,1207.0,140.0,,,False,30,,0.37861915367483295,0.8047512991833704,0.8418708240534521,0.3187438487899712,0.7799737642955524,0.8250278696623256,1.6282236272997577,0.6191659884969852,0.5155578472729034
throughput_3,8,5.0,markov,kmeans,bic,0.7839643652561247,0.7704866584339713,0.6980611258468215,0.8804751299183371,0.859177735613644,0.2858203414996288,0.08891454965357967,1.4693691557465314,9.0,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",2.0,padded,0.3922268080059439,0.19212992093525827,7.40237256209366,1172.0,175.0,,,False,30,,0.28507795100222716,0.7765404602821084,0.7839643652561247,0.2898744732852589,0.7640967139498178,0.7704866584339713,2.6671820462375235,0.6945143447468135,0.6980611258468215
throughput_3,8,6.0,markov,kmeans,bic,0.7423904974016332,0.7355230459186964,0.9042947965980866,0.8775055679287305,0.8620114727198374,0.25092798812175204,0.06686449060336301,1.7243623104753445,9.0,"buffer_size_3,throughput_2,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",2.0,padded,0.5046645840629935,0.20384845393709838,7.212580987019464,1124.0,223.0,,,False,30,,0.3214550853749072,0.771343726800297,0.7423904974016332,0.26026288716135615,0.7719002297920206,0.7355230459186964,2.695990014143319,0.8030710174135915,0.9042947965980866
throughput_3,8,8.0,markov,kmeans,bic,0.7334818114328137,0.6363729116342935,0.9817936783814328,0.8678544914625093,0.8317576395241347,0.25092798812175204,0.050148367952522255,1.8923113175606419,9.0,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",1.0,padded,0.3574714830610901,0.20577862299978733,6.981024424079806,1077.0,270.0,,,False,30,,0.3214550853749072,0.6481069042316259,0.7334818114328137,0.27920889300122465,0.5093166572425613,0.6363729116342935,2.7477321542547166,1.0176824043512966,0.9817936783814328
