metric,labels,timestamp,value
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:30:09Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:30:24Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:30:39Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:30:54Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Read","2025-10-31T10:31:09Z","0"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:16:09Z","37574.75994513032"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:16:24Z","35907.239088700495"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:16:39Z","37257.57288088786"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:16:54Z","37044.10859604733"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:17:09Z","36424.33602036487"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:17:24Z","36957.77770080704"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:17:39Z","34566.56764785309"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:17:54Z","35097.778150415026"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:18:09Z","35228.29894225767"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:18:24Z","37298.29807966936"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:18:39Z","38223.27065843336"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:18:54Z","38271.507969365535"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:19:09Z","33378.2647646613"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:19:24Z","35834.10391708634"
"container_blkio_device_usage_total","device=/dev/vda;id=/;instance=cadvisor:8080;job=iot_service;major=254;minor=0;operation=Write","2025-10-31T10:19:39Z","35850.30181086519"
